constructor_id,abs_error
Haas F1 Team,2.014378087739338
Aston Martin,2.1449779761681986
Kick Sauber,2.276269912274455
Ferrari,2.423351066873196
McLaren,2.5677996933017253
Red Bull Racing,2.7975960711972823
RB,2.902215203612206
Mercedes,2.9038510540780793
Alpine,3.6096863849189664
Williams,4.293741866814584
